fold,station_name,rows,mae,rmse,mse,r2,mean_residual,median_abs_error,p90_abs_error,max_abs_error
1,MAXAU,14,1.0628253579951215,1.1807634211218667,1.3942022566594148,-1.0092914875385688,0.18586720615541757,1.2243005711800095,1.5612419191276161,1.9892194512647166
1,RHEINWEILER,14,0.8725026290699459,1.0416062663872456,1.0849436141771778,-0.7011915870298138,-0.14258049991562416,0.6692420894314495,1.4569889196802137,2.2284835247928356
1,KONSTANZ-RHEIN,14,0.8333764876444028,0.9360457131581416,0.8761815771217337,-6.1554828798274945,-0.7296075714989618,0.7118403219172649,1.3380536835048475,1.5586195553482298
1,WORMS,14,0.6938997100410528,0.7624780274896764,0.5813727424045477,-1.3739386981519033,0.5629418044957616,0.7363810828547201,1.0373449456040902,1.1321417293715115
1,DUISBURG-MEIDERICH SCHLEUSE OW,215,0.3377466836933993,0.4076846126419526,0.16620674338501892,-513.3334078414525,-0.06336378827460207,0.2866236529298156,0.8872098236592834,0.9294402047393788
1,DUISBURG-MEIDERICH SCHLEUSE UW,214,0.06519616233742631,0.10508448647133141,0.011042749296943434,-100.16500566181382,0.06215531164326863,0.06094868196454328,0.08441131368087085,0.7331752092635568
2,RHEINE UNTERSCHLEUSE,14,20.93234411542568,27.72665332741909,768.7673047388802,-235.5437860735016,-20.925339008900703,16.75938926161247,46.20700171960434,47.25525164198018
2,Koblenz UP,14,10.496863661677944,12.566449741130508,157.915659096359,0.06828810406723751,-1.8211900419499116,8.432896971836364,18.153997742145815,24.922681293975565
2,Koblenz OP,14,4.181834710510734,4.8529683592294655,23.551301895682332,-4.712939568754627,3.760382018627301,4.341154011161649,7.588820737346713,8.049205825541293
2,BREISACH,15,2.9843449158025614,4.108386215509086,16.87883729578507,-1.813139549297511,2.9843449158025614,1.63810729814017,7.307948930123654,9.29494029731407
2,KAUB,14,3.8194021329276304,4.094484242904558,16.76480121539371,-25.49920192110619,3.8194021329276304,4.080240990847301,5.7894059603921715,6.286499835007248
2,MAXAU,14,2.715546710461041,3.1718131687149373,10.060398777233493,-3.5538987536668927,-2.715546710461041,1.819845497315896,5.087682941501475,5.43037468521112
2,IFFEZHEIM,14,2.4050245647204247,2.9820513490963125,8.892630248647137,-2.9522801105098386,-2.1453226977618374,2.1000040921431378,4.734261227115199,5.9912747935794926
