station_name,timeseries_name_<lambda>,unit_<lambda>,source_<lambda>,timestamp_utc_min,timestamp_utc_max,timestamp_utc_count,distance_km_mean,distance_km_median,target_value_mean,target_value_std,target_value_min,target_value_max,target_value_median,target_t_plus_24h_mean,target_t_plus_24h_std,target_t_plus_24h_min,target_t_plus_24h_max,target_t_plus_24h_median,temperature_c_mean,temperature_c_std,precipitation_mm_mean,precipitation_mm_sum,wind_speed_ms_mean,wind_speed_ms_std,pressure_hpa_mean,pressure_hpa_std,relative_humidity_pct_mean,relative_humidity_pct_std,rolling_std_3_mean,rolling_std_3_max,rolling_max_6_mean,rolling_min_6_mean,coverage_days,target_value_range,target_t_plus_24h_range,corridor_position
KOBLENZ,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,61.12067786477541,61.1206778647754,82.76712328767124,2.8940578391344833,76.0,91.0,82.0,84.20547945205479,11.910498291784425,18.0,95.0,84.0,23.183561643835617,3.360969341765278,0.0,0.0,,,,,60.534246575342465,14.42228425406402,0.8028333495181287,2.6457513110645907,83.625,81.02777777777777,0.75,15.0,77.0,61.12067786477541
KONSTANZ-RHEIN,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,105.69491782331517,105.69491782331517,313.13698630136986,0.5606313032136659,312.0,314.0,313.0,312.2054794520548,6.641533675183736,273.0,314.0,313.0,25.06027397260274,4.499436376000252,0.0,0.0,,,,,63.3013698630137,15.157217689847052,0.21955573617070273,0.5773502691896257,313.3888888888889,312.8611111111111,0.75,2.0,41.0,105.69491782331517
Koblenz OP,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,62.775177450035436,62.77517745003544,201.8082191780822,2.7570995944136714,197.0,207.0,201.0,202.56164383561645,2.386223779728259,198.0,207.0,202.0,20.427397260273974,4.447822821772613,0.0,0.0,1.4986301369863015,0.5689886619366689,1011.5315068493151,1.307231671248044,69.8082191780822,15.284030822185487,0.7627566157459085,2.0816659994661326,202.73611111111111,200.45833333333334,0.75,10.0,9.0,62.775177450035436
Koblenz UP,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:00:00+00:00,72,62.84633153967505,62.84633153967504,48.611111111111114,8.489522217441815,21.0,69.0,48.0,54.56944444444444,12.68005685872631,21.0,75.0,49.0,23.095833333333335,3.2993143760655284,0.0,0.0,,,,,60.861111111111114,14.248603149284156,1.5621287306058569,11.590225767142474,50.563380281690144,44.436619718309856,0.7395833333333334,48.0,54.0,62.84633153967505
KÖLN,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,15.822967497533536,15.822967497533536,131.2054794520548,2.852673717125303,125.0,134.0,132.0,130.6027397260274,10.402643528913693,69.0,134.0,132.0,20.427397260273974,4.447822821772612,0.0,0.0,1.4986301369863015,0.5689886619366689,1011.5315068493151,1.307231671247921,69.8082191780822,15.284030822185501,0.2802515259842028,1.1547005383792515,131.51388888888889,130.51388888888889,0.75,9.0,65.0,15.822967497533536
LOBITH,W,cm,pegelonline,2026-06-29 21:10:00+00:00,2026-06-30 17:10:00+00:00,121,131.41200912416735,131.41200912416735,704.5289256198347,0.9226265059174856,703.0,707.0,704.0,703.1157024793389,7.871033480050574,642.0,706.0,704.0,20.750413223140498,4.348162906464871,0.0,0.0,1.747107438016529,1.0292452234659861,1011.2446280991736,1.5523611270805309,69.22314049586777,14.64154340868577,0.6134628698783219,1.7320508075688772,705.4333333333333,703.8416666666667,0.8333333333333334,4.0,64.0,131.41200912416735
MAINZ,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,6.586858577261397,6.586858577261397,184.86301369863014,2.529355805630418,180.0,190.0,185.0,182.32876712328766,9.53655946945541,128.0,190.0,184.0,23.183561643835617,3.360969341765285,0.0,0.0,,,,,60.534246575342465,14.422284254064012,0.5845058336897859,1.5275252316519468,185.70833333333334,183.80555555555554,0.75,10.0,62.0,6.586858577261397
MANNHEIM,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,7.859535571120397,7.859535571120397,162.08219178082192,2.686144617691613,158.0,167.0,162.0,163.15068493150685,11.629310709578132,96.0,170.0,165.0,23.805479452054794,3.8792858166792237,0.0,0.0,1.9054794520547944,0.5209207689165257,1009.9890410958903,1.4567430990470929,67.64383561643835,13.031340281343217,0.552680819052873,1.5275252316519468,162.52777777777777,160.95833333333334,0.75,9.0,74.0,7.859535571120397
MAXAU,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,7.594683396931383,7.594683396931382,406.26027397260276,3.0687827719919465,401.0,411.0,406.0,402.71232876712327,15.188152777059486,316.0,411.0,406.0,24.62054794520548,3.912940032199063,0.0,0.0,2.4465753424657533,0.7518647543461561,1007.4890410958903,1.5380869831489385,65.10958904109589,13.700731573974448,0.49330843413533365,2.516611478423583,407.18055555555554,405.43055555555554,0.75,10.0,95.0,7.594683396931383
REES,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,112.47834397651228,112.47834397651228,96.98630136986301,0.8896495983895975,95.0,99.0,97.0,95.08219178082192,9.58985781475167,38.0,99.0,97.0,20.427397260273974,4.447822821772613,0.0,0.0,1.4986301369863015,0.568988661936669,1011.5315068493151,1.3072316712479224,69.8082191780822,15.284030822185489,0.41961611824734196,1.7320508075688772,97.69444444444444,96.48611111111111,0.75,4.0,61.0,112.47834397651228
RHEINE UNTERSCHLEUSE,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,159.43850361217957,159.43850361217957,197.4931506849315,11.073144800310583,185.0,249.0,196.0,196.7123287671233,11.28848903880852,185.0,249.0,195.0,20.427397260273974,4.447822821772611,0.0,0.0,1.4986301369863015,0.568988661936669,1011.5315068493151,1.3072316712478247,69.8082191780822,15.284030822185489,2.7680761296402827,26.514147167125703,204.54166666666666,193.83333333333334,0.75,64.0,64.0,159.43850361217957
RHEINWEILER,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,24.838085509939535,24.838085509939535,222.75342465753425,0.6827400253107551,221.0,225.0,223.0,223.17808219178082,0.822301407187044,220.0,225.0,223.0,25.06027397260274,4.4994363760002525,0.0,0.0,,,,,63.3013698630137,15.15721768984706,0.14131096804390256,1.5275252316519468,223.0,222.47222222222223,0.75,4.0,5.0,24.838085509939535
SANKT GOAR,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,40.8196303638594,40.8196303638594,174.87671232876713,4.284809102059977,170.0,183.0,174.0,176.23287671232876,11.5860554930212,109.0,183.0,179.0,23.183561643835617,3.3609693417652857,0.0,0.0,,,,,60.534246575342465,14.422284254064031,0.44171774591572044,1.1547005383792515,175.19444444444446,173.79166666666666,0.75,13.0,74.0,40.8196303638594
SPEYER,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,21.788737782312083,21.788737782312083,252.15068493150685,5.6091968945768444,242.0,261.0,252.0,255.31506849315068,13.168646172220312,181.0,263.0,258.0,23.805479452054794,3.879285816679225,0.0,0.0,1.9054794520547944,0.5209207689165256,1009.9890410958903,1.4567430990470533,67.64383561643835,13.03134028134321,0.5692946436942053,1.1547005383792515,252.43055555555554,250.55555555555554,0.75,19.0,82.0,21.788737782312083
WESEL,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,94.9878281147475,94.9878281147475,152.05479452054794,1.0259197900055848,150.0,155.0,152.0,151.35616438356163,10.157605064151161,91.0,156.0,153.0,20.427397260273974,4.447822821772613,0.0,0.0,1.4986301369863015,0.5689886619366691,1011.5315068493151,1.3072316712479823,69.8082191780822,15.284030822185494,0.6235273885869795,1.5275252316519468,152.90277777777777,151.06944444444446,0.75,5.0,65.0,94.9878281147475
WORMS,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,19.104993880818512,19.104993880818512,72.84931506849315,1.3710421105121264,71.0,75.0,73.0,72.83561643835617,10.393659523732799,12.0,79.0,74.0,23.805479452054794,3.879285816679226,0.0,0.0,1.9054794520547944,0.5209207689165258,1009.9890410958903,1.4567430990469936,67.64383561643835,13.03134028134321,0.20294102399096214,1.0,73.08333333333333,72.44444444444444,0.75,4.0,67.0,19.104993880818512
